0,nexus6,
1,iphone,
2,iphone,
3,nexus6,
4,nexus6,
5,iphone,
6,iphone,
7,nexus6,
8,nexus6,
9,nexus6,
10,nexus6,
11,iphone,
12,nexus6,
13,nexus6,
14,nexus6,
15,iphone,
16,nexus6,
17,iphone,
18,nexus6,
19,nexus6,
20,nexus6,
21,iphone,
22,iphone,
23,nexus6,
24,iphone,
25,nexus6,
26,nexus6,
27,iphone,
28,iphone,
29,nexus6,
30,iphone,
31,nexus6,
32,iphone,
33,iphone,
34,nexus6,
35,nexus6,
36,iphone,
37,nexus6,
38,iphone,
39,iphone,
40,iphone,
41,iphone,
42,nexus6,
43,nexus6,
44,iphone,
45,iphone,
46,iphone,
47,nexus6,
48,nexus6,
49,nexus6,
50,iphone,
51,nexus6,
52,iphone,
53,iphone,
54,iphone,
55,iphone,
56,iphone,
57,nexus6,
58,iphone,
59,nexus6,
60,nexus6,
61,iphone,
62,iphone,
63,iphone,
64,iphone,
65,iphone,
66,iphone,
67,iphone,
68,iphone,
69,iphone,
70,iphone,
71,iphone,
72,iphone,
73,iphone,
74,nexus6,
75,nexus6,
76,iphone,
77,nexus6,
78,nexus6,
79,nexus6,
80,iphone,
81,nexus6,
82,nexus6,
83,iphone,
84,iphone,
85,iphone,
86,nexus6,
87,iphone,
88,nexus6,
89,iphone,
90,iphone,
91,iphone,
92,nexus6,
93,nexus6,
94,nexus6,
95,nexus6,
96,nexus6,
97,nexus6,
98,nexus6,
99,nexus6,
100,iphone,
101,iphone,
102,iphone,
103,nexus6,
104,iphone,
105,nexus6,
106,iphone,
107,nexus6,
108,nexus6,
109,nexus6,
110,nexus6,
111,nexus6,
112,nexus6,
113,iphone,
114,iphone,
115,iphone,
116,iphone,
117,iphone,
118,iphone,
119,iphone,
120,iphone,
121,nexus6,
122,nexus6,
123,iphone,
124,iphone,
125,nexus6,
126,iphone,
127,iphone,
128,iphone,
129,iphone,
130,nexus6,
131,nexus6,
132,nexus6,
133,nexus6,
134,iphone,
135,nexus6,
136,iphone,
137,iphone,
138,nexus6,
139,iphone,
140,iphone,
141,iphone,
142,iphone,
143,nexus6,
144,nexus6,
145,iphone,
146,iphone,
147,iphone,
148,nexus6,
149,iphone,
150,iphone,
151,iphone,
152,nexus6,
153,nexus6,
154,iphone,
155,iphone,
156,nexus6,
